objective	top_k	n_seeds	mean_overlap	median_overlap	min_overlap	max_overlap	mean_precision	mean_recall	mean_fold_enrichment	median_hypergeom_pvalue
top200_overlap	50	10	1.4	1.0	0	3	0.028000000000000004	0.01647058823529412	18.243482352941175	0.07395523750463028
top200_overlap	100	10	2.6	2.5	0	5	0.026000000000000002	0.03058823529411765	16.940376470588234	0.005480068090187486
top200_overlap	200	10	3.8	3.5	2	6	0.019	0.04470588235294117	12.379505882352941	0.0019760995673262904
top200_overlap	500	10	7.5	7.0	5	11	0.015	0.08823529411764705	9.773294117647058	1.2608221543409588e-05
top200_overlap	1000	10	12.0	12.5	7	17	0.012	0.1411764705882353	7.818635294117646	2.434734745181388e-08
top200_hypergeom	50	10	1.4	1.0	0	3	0.028000000000000004	0.01647058823529412	18.243482352941175	0.07395523750463028
top200_hypergeom	100	10	2.6	2.5	0	5	0.026000000000000002	0.03058823529411765	16.940376470588234	0.005480068090187486
top200_hypergeom	200	10	3.8	3.5	2	6	0.019	0.04470588235294117	12.379505882352941	0.0019760995673262904
top200_hypergeom	500	10	7.5	7.0	5	11	0.015	0.08823529411764705	9.773294117647058	1.2608221543409588e-05
top200_hypergeom	1000	10	12.0	12.5	7	17	0.012	0.1411764705882353	7.818635294117646	2.434734745181388e-08
top200_fold	50	10	1.4	1.0	0	3	0.028000000000000004	0.01647058823529412	18.243482352941175	0.07395523750463028
top200_fold	100	10	2.6	2.5	0	5	0.026000000000000002	0.03058823529411765	16.940376470588234	0.005480068090187486
top200_fold	200	10	3.8	3.5	2	6	0.019	0.04470588235294117	12.379505882352941	0.0019760995673262904
top200_fold	500	10	7.5	7.0	5	11	0.015	0.08823529411764705	9.773294117647058	1.2608221543409588e-05
top200_fold	1000	10	12.0	12.5	7	17	0.012	0.1411764705882353	7.818635294117646	2.434734745181388e-08
weighted_top200_500_1000	50	10	1.3	1.0	0	3	0.026000000000000002	0.015294117647058824	16.940376470588234	0.07395523750463028
weighted_top200_500_1000	100	10	2.2	1.5	1	5	0.022	0.025882352941176467	14.334164705882353	0.07647708336106789
weighted_top200_500_1000	200	10	4.1	4.0	2	6	0.0205	0.04823529411764706	13.356835294117648	0.00026585296744680183
weighted_top200_500_1000	500	10	7.6	8.0	4	11	0.0152	0.08941176470588236	9.903604705882353	1.0931368718162731e-06
weighted_top200_500_1000	1000	10	13.1	13.0	10	17	0.0131	0.15411764705882353	8.535343529411765	4.474962031553135e-09
top500_hypergeom	50	10	1.0	1.0	0	3	0.02	0.011764705882352941	13.031058823529412	0.07395523750463028
top500_hypergeom	100	10	1.8	1.5	0	5	0.018	0.021176470588235293	11.72795294117647	0.07647708336106789
top500_hypergeom	200	10	4.1	4.5	2	6	0.0205	0.04823529411764706	13.356835294117648	0.00014050440946031668
top500_hypergeom	500	10	6.7	7.0	4	8	0.0134	0.07882352941176471	8.730809411764707	1.2608221543409588e-05
top500_hypergeom	1000	10	12.3	13.0	5	15	0.0123	0.14470588235294118	8.014101176470588	4.474962031553135e-09
top1000_hypergeom	50	10	1.2	1.0	0	3	0.024	0.01411764705882353	15.637270588235292	0.07395523750463028
top1000_hypergeom	100	10	2.1	2.0	1	5	0.021	0.024705882352941178	13.682611764705882	0.010453459425604047
top1000_hypergeom	200	10	4.2	4.5	2	6	0.021	0.049411764705882356	13.682611764705882	0.00014050440946031668
top1000_hypergeom	500	10	8.4	8.0	7	12	0.016800000000000002	0.09882352941176471	10.946089411764707	1.0931368718162731e-06
top1000_hypergeom	1000	10	13.1	13.5	9	18	0.0131	0.15411764705882353	8.535343529411765	2.4449124216911063e-09
